dataset,task_id,status,ast_info,dynamic_info,lib_info,generated_code,patched_code,error_sources,error_types,error_lines,canonical_solution
ds1000,DS0000,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'def g(df, List):\n    return df.iloc[List]\n\nresult = g(df, List)'}",,"def g(df, List):
    return df.iloc[List]

result = g(df, List)","def g(df, List):
    return df.iloc[List]

result = g(df, List)",,,,"def g(df, List):
    return df.iloc[List]

result = g(df.copy(), List)
"
ds1000,DS0001,hallucinated,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'failed', 'error_type': 'AssertionError', 'error_message': '', 'line_number': '', 'test_case': '[[""(   Col1  Col2  Col3  Type\\n0     1     2     3     1\\n1     4     5     6     1\\n2     7     8     9     2\\n3    10    11    12     2\\n4    13    14    15     3\\n5    16    17    18     3, array([2, 5, 4, 1, 3, 0]))"", ""6"", ""<Execution Error: name \'df\' is not defined>""]]', 'testcase_output': 'Traceback (most recent call last):\n  File ""/tmp/ipykernel_3537/3661587577.py"", line 89, in execute_ds1000_test_inner\n    test_env[\'test_execution\'](generated_code)\n  File ""<string>"", line 53, in test_execution\nAssertionError\n', 'generated_code': ""def test_func(df, List):\n    df['Type'] = df['Type'].astype(str)\n    df['new'] = df['Type'].apply(lambda x: str(List[int(x)]))\n    df = df.sort_values(by=['new'])\n    df = df.drop(columns=['new', 'Type'])\n    return df\n\nresult = test_func(df, List)""}","{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def test_func(df, List):
    df['Type'] = df['Type'].astype(str)
    df['new'] = df['Type'].apply(lambda x: str(List[int(x)]))
    df = df.sort_values(by=['new'])
    df = df.drop(columns=['new', 'Type'])
    return df

result = test_func(df, List)","def test_func(df, List):
    df['Type'] = df['Type'].astype(str)
    df['new'] = df['Type'].apply(lambda x: str(List[int(x)]))
    df = df.sort_values(by=['new'])
    df = df.drop(columns=['new', 'Type'])
    return df

result = test_func(df, List)",,,,"def g(df, List):
    df2 = df.iloc[List].reindex().reset_index(drop=True)
    return (df2.Type != df.Type).sum()

result = g(df.copy(), List)
"
ds1000,DS0002,hallucinated,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'failed', 'error_type': 'AssertionError', 'error_message': '', 'line_number': '', 'test_case': '[[""      Qu1      Qu2      Qu3\\n0   apple  sausage    apple\\n1  potato   banana   potato\\n2  cheese    apple  sausage\\n3  banana    apple   cheese\\n4  cheese    apple   cheese\\n5  banana  sausage   potato\\n6  cheese   banana   cheese\\n7  potato   banana   potato\\n8     egg   banana      egg"", ""      Qu1      Qu2     Qu3\\n0   other  sausage   other\\n1  potato   banana  potato\\n2  cheese    apple   other\\n3  banana    apple  cheese\\n4  cheese    apple  cheese\\n5  banana  sausage  potato\\n6  cheese   banana  cheese\\n7  potato   banana  potato\\n8   other   banana   other"", ""<Execution Error: name \'df\' is not defined>""], [""       Qu1      Qu2     Qu3\\n0  sausage    apple   apple\\n1   banana   potato  potato\\n2    apple  sausage  cheese\\n3    apple   cheese  banana\\n4    apple   cheese  cheese\\n5  sausage   potato  banana\\n6   banana   cheese  cheese\\n7   banana   potato  potato\\n8   banana      egg     egg"", ""       Qu1     Qu2     Qu3\\n0  sausage   other   other\\n1   banana  potato  potato\\n2    apple   other  cheese\\n3    apple  cheese  banana\\n4    apple  cheese  cheese\\n5  sausage  potato  banana\\n6   banana  cheese  cheese\\n7   banana  potato  potato\\n8   banana   other   other"", ""<Execution Error: name \'df\' is not defined>""]]', 'testcase_output': 'Traceback (most recent call last):\n  File ""/tmp/ipykernel_3537/3661587577.py"", line 89, in execute_ds1000_test_inner\n    test_env[\'test_execution\'](generated_code)\n  File ""<string>"", line 117, in test_execution\nAssertionError\n', 'generated_code': ""def g(df):\n    return df.apply(lambda x: np.where(x.map(x.value_counts())>=2,x,x.map({'apple':'other','egg':'other'})))\n\nresult = g(df.copy())""}","{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def g(df):
    return df.apply(lambda x: np.where(x.map(x.value_counts())>=2,x,x.map({'apple':'other','egg':'other'})))

result = g(df.copy())","def g(df):
    return df.apply(lambda x: np.where(x.map(x.value_counts())>=2,x,x.map({'apple':'other','egg':'other'})))

result = g(df.copy())",,,,"def g(df):
    return df.where(df.apply(lambda x: x.map(x.value_counts())) >= 2, ""other"")

result = g(df.copy())
"
ds1000,DS0003,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': ""def g(df):\n    return df.apply(lambda x: np.where(x.map(x.value_counts()) >= 3, x, 'other'))\n\nresult = g(df.copy())""}",,"def g(df):
    return df.apply(lambda x: np.where(x.map(x.value_counts()) >= 3, x, 'other'))

result = g(df.copy())","def g(df):
    return df.apply(lambda x: np.where(x.map(x.value_counts()) >= 3, x, 'other'))

result = g(df.copy())",,,,"def g(df):
    return df.where(df.apply(lambda x: x.map(x.value_counts())) >= 3, ""other"")

result = g(df.copy())
"
ds1000,DS0004,hallucinated,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'failed', 'error_type': 'IndentationError', 'error_message': 'expected an indented block after function definition on line 4 (<string>, line 5)', 'line_number': '1', 'test_case': '[[""      Qu1      Qu2      Qu3\\n0   apple  sausage    apple\\n1  potato   banana   potato\\n2  cheese    apple  sausage\\n3  banana    apple   cheese\\n4  cheese    apple   cheese\\n5  banana  sausage   potato\\n6  cheese   banana   cheese\\n7  potato   banana   potato\\n8     egg   banana      egg"", ""      Qu1      Qu2     Qu3\\n0   other  sausage   other\\n1  potato   banana  potato\\n2  cheese    apple   other\\n3  banana    apple  cheese\\n4  cheese    apple  cheese\\n5  banana  sausage  potato\\n6  cheese   banana  cheese\\n7  potato   banana  potato\\n8   other   banana   other"", ""<No result variable>""], [""       Qu1      Qu2     Qu3\\n0  sausage    apple   apple\\n1   banana   potato  potato\\n2    apple  sausage  cheese\\n3    apple   cheese  banana\\n4    apple   cheese  cheese\\n5  sausage   potato  banana\\n6   banana   cheese  cheese\\n7   banana   potato  potato\\n8   banana      egg     egg"", ""       Qu1     Qu2     Qu3\\n0  sausage   other   other\\n1   banana  potato  potato\\n2    apple   other  cheese\\n3    apple  cheese  banana\\n4    apple  cheese  cheese\\n5  sausage  potato  banana\\n6   banana  cheese  cheese\\n7   banana  potato  potato\\n8   banana   other   other"", ""<No result variable>""]]', 'testcase_output': '', 'generated_code': ""def f(df):\n    for col in df.columns:\n        df[col] = df[col].apply(lambda x: x if df[col].value_counts()[x] >= 2 else 'other')\n    return df""}","{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def f(df):
    for col in df.columns:
        df[col] = df[col].apply(lambda x: x if df[col].value_counts()[x] >= 2 else 'other')
    return df","<<<< [ERROR START] (dynamic: IndentationError)
def f(df):
[ERROR END] (dynamic: IndentationError) >>>>
    for col in df.columns:
        df[col] = df[col].apply(lambda x: x if df[col].value_counts()[x] >= 2 else 'other')
    return df",dynamic,IndentationError,1-1,"    result = df.where(df.apply(lambda x: x.map(x.value_counts())) >= 2, ""other"")

    return result
"
ds1000,DS0005,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': ""def g(df):\n    return df.apply(lambda x: x.where(x.map(x.value_counts()) >= 3, 'other') if x.name in ['Qu1'] else x.where(x.map(x.value_counts()) >= 2, 'other'))\n\nresult = g(df.copy())""}",,"def g(df):
    return df.apply(lambda x: x.where(x.map(x.value_counts()) >= 3, 'other') if x.name in ['Qu1'] else x.where(x.map(x.value_counts()) >= 2, 'other'))

result = g(df.copy())","def g(df):
    return df.apply(lambda x: x.where(x.map(x.value_counts()) >= 3, 'other') if x.name in ['Qu1'] else x.where(x.map(x.value_counts()) >= 2, 'other'))

result = g(df.copy())",,,,"def g(df):
    for col in df.columns:
        vc = df[col].value_counts()
        if col == 'Qu1':
            df[col] = df[col].apply(lambda x: x if vc[x] >= 3 else 'other')
        else:
            df[col] = df[col].apply(lambda x: x if vc[x] >= 2 else 'other')
    return df

result = g(df.copy())
"
ds1000,DS0006,hallucinated,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'failed', 'error_type': 'AssertionError', 'error_message': '', 'line_number': '', 'test_case': '[[""      Qu1      Qu2      Qu3\\n0   apple  sausage    apple\\n1  potato   banana   potato\\n2  cheese    apple  sausage\\n3  banana    apple   cheese\\n4  cheese    apple   cheese\\n5  banana  sausage   potato\\n6  cheese   banana   cheese\\n7  potato   banana   potato\\n8     egg   banana      egg"", ""      Qu1      Qu2     Qu3\\n0   apple  sausage   apple\\n1   other   banana  potato\\n2  cheese    apple   other\\n3   other    apple  cheese\\n4  cheese    apple  cheese\\n5   other  sausage  potato\\n6  cheese   banana  cheese\\n7   other   banana  potato\\n8   other   banana   other"", ""<Execution Error: name \'df\' is not defined>""], [""       Qu1      Qu2     Qu3\\n0  sausage    apple   apple\\n1   banana   potato  potato\\n2    apple  sausage  cheese\\n3    apple   cheese  banana\\n4    apple   cheese  cheese\\n5  sausage   potato  banana\\n6   banana   cheese  cheese\\n7   banana   potato  potato\\n8   banana      egg     egg"", ""      Qu1     Qu2     Qu3\\n0   other   apple   apple\\n1  banana  potato  potato\\n2   apple   other  cheese\\n3   apple  cheese  banana\\n4   apple  cheese  cheese\\n5   other  potato  banana\\n6  banana  cheese  cheese\\n7  banana  potato  potato\\n8  banana   other   other"", ""<Execution Error: name \'df\' is not defined>""]]', 'testcase_output': 'Traceback (most recent call last):\n  File ""/tmp/ipykernel_3537/3661587577.py"", line 89, in execute_ds1000_test_inner\n    test_env[\'test_execution\'](generated_code)\n  File ""<string>"", line 127, in test_execution\nAssertionError\n', 'generated_code': ""def g(df):\n    for col in df.columns:\n        vc = df[col].value_counts()\n        if vc.shape[0] == 1:\n            continue\n        mask = vc >= 3\n        mask.loc['apple'] = True\n        df[col] = df[col].apply(lambda x: 'other' if mask[x] else x)\n    return df\n\nresult = g(df.copy())""}","{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def g(df):
    for col in df.columns:
        vc = df[col].value_counts()
        if vc.shape[0] == 1:
            continue
        mask = vc >= 3
        mask.loc['apple'] = True
        df[col] = df[col].apply(lambda x: 'other' if mask[x] else x)
    return df

result = g(df.copy())","def g(df):
    for col in df.columns:
        vc = df[col].value_counts()
        if vc.shape[0] == 1:
            continue
        mask = vc >= 3
        mask.loc['apple'] = True
        df[col] = df[col].apply(lambda x: 'other' if mask[x] else x)
    return df

result = g(df.copy())",,,,"def g(df):
    for col in df.columns:
        vc = df[col].value_counts()
        if col == 'Qu1':
            df[col] = df[col].apply(lambda x: x if vc[x] >= 3 or x == 'apple' else 'other')
        else:
            df[col] = df[col].apply(lambda x: x if vc[x] >= 2 or x == 'apple' else 'other')
    return df

result = g(df.copy())
"
ds1000,DS0007,hallucinated,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'failed', 'error_type': 'AssertionError', 'error_message': '', 'line_number': '', 'test_case': '[[""     url keep_if_dup\\n0  A.com         Yes\\n1  A.com         Yes\\n2  A.com          No\\n3  B.com          No\\n4  B.com          No\\n5  C.com          No\\n6  B.com         Yes"", ""     url keep_if_dup\\n0  A.com         Yes\\n1  A.com         Yes\\n3  B.com          No\\n5  C.com          No\\n6  B.com         Yes"", ""<Execution Error: name \'df\' is not defined>""]]', 'testcase_output': 'Traceback (most recent call last):\n  File ""/tmp/ipykernel_3537/3661587577.py"", line 89, in execute_ds1000_test_inner\n    test_env[\'test_execution\'](generated_code)\n  File ""<string>"", line 56, in test_execution\nAssertionError\n', 'generated_code': ""def g(df):\n    return df.loc[df.groupby('url')['keep_if_dup'].transform('max') == 'Yes']\n\nresult = g(df.copy())""}","{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def g(df):
    return df.loc[df.groupby('url')['keep_if_dup'].transform('max') == 'Yes']

result = g(df.copy())","def g(df):
    return df.loc[df.groupby('url')['keep_if_dup'].transform('max') == 'Yes']

result = g(df.copy())",,,,"def g(df):
    return df.loc[(df['keep_if_dup'] =='Yes') | ~df['url'].duplicated()]

result = g(df.copy())
"
ds1000,DS0008,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': ""def g(df):\n    return df.loc[(df['drop_if_dup'] == 'No') | ~df['url'].duplicated()]\n\nresult = g(df.copy())""}",,"def g(df):
    return df.loc[(df['drop_if_dup'] == 'No') | ~df['url'].duplicated()]

result = g(df.copy())","def g(df):
    return df.loc[(df['drop_if_dup'] == 'No') | ~df['url'].duplicated()]

result = g(df.copy())",,,,"def g(df):
    return df.loc[(df['drop_if_dup'] =='No') | ~df['url'].duplicated()]

result = g(df.copy())
"
ds1000,DS0009,hallucinated,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'failed', 'error_type': 'AssertionError', 'error_message': '', 'line_number': '', 'test_case': '[[""     url keep_if_dup\\n0  A.com         Yes\\n1  A.com         Yes\\n2  A.com          No\\n3  B.com          No\\n4  B.com          No\\n5  C.com          No\\n6  B.com         Yes"", ""     url keep_if_dup\\n0  A.com         Yes\\n1  A.com         Yes\\n2  A.com          No\\n5  C.com          No\\n6  B.com         Yes"", ""<Execution Error: name \'df\' is not defined>""]]', 'testcase_output': 'Traceback (most recent call last):\n  File ""/tmp/ipykernel_3537/3661587577.py"", line 89, in execute_ds1000_test_inner\n    test_env[\'test_execution\'](generated_code)\n  File ""<string>"", line 56, in test_execution\nAssertionError\n', 'generated_code': ""def g(df):\n    return df.loc[df.groupby('url')['keep_if_dup'].transform(max) == 'Yes']\n\nresult = g(df.copy())""}","{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def g(df):
    return df.loc[df.groupby('url')['keep_if_dup'].transform(max) == 'Yes']

result = g(df.copy())","def g(df):
    return df.loc[df.groupby('url')['keep_if_dup'].transform(max) == 'Yes']

result = g(df.copy())",,,,"def g(df):
    return df.loc[(df['keep_if_dup'] =='Yes') | ~df['url'].duplicated(keep='last')]

result = g(df.copy())
"
