step,epoch,training_loss
5,1,0.935504
10,1,0.810991
15,1,0.653183
20,1,0.576648
25,1,0.57635
30,1,0.516483
35,1,0.594679
40,1,0.568383
45,1,0.457865
50,1,0.400074
55,1,0.493012
60,1,0.383467
65,1,0.537865
70,1,0.5005
75,1,0.393779
80,1,0.485108
85,1,0.360223
90,1,0.468065
95,1,0.407268
100,1,0.457419
105,1,0.434979
110,1,0.405355
115,1,0.34274
120,1,0.337835
125,1,0.365801
130,2,0.183323
135,2,0.206027
140,2,0.247923
145,2,0.199964
150,2,0.189895
155,2,0.186907
160,2,0.184435
165,2,0.210933
170,2,0.210494
175,2,0.127392
180,2,0.191651
185,2,0.173254
190,2,0.153008
195,2,0.156619
200,2,0.285961
205,2,0.173257
210,2,0.162059
215,2,0.110997
220,2,0.208148
225,2,0.133058
230,2,0.23127
235,2,0.172717
240,2,0.164609
245,2,0.132433
250,2,0.230063
255,3,0.065378
260,3,0.080121
265,3,0.076246
270,3,0.085479
275,3,0.061593
280,3,0.070366
285,3,0.049925
290,3,0.063897
295,3,0.083566
300,3,0.055937
305,3,0.07311
310,3,0.064131
315,3,0.091406
320,3,0.064078
325,3,0.056636
330,3,0.075802
335,3,0.035198
340,3,0.065691
345,3,0.07361
350,3,0.060939
355,3,0.074667
360,3,0.072902
365,3,0.098033
370,3,0.048993
375,3,0.062277
