dataset,task_id,status,ast_info,dynamic_info,lib_info,generated_code,patched_code,error_sources,error_types,error_lines,canonical_solution
humaneval,HumanEval/0,hallucinated,"{'ast_parsed': False, 'ast_errors': [{'type': 'IndentationError', 'start_line': 5, 'end_line': 5, 'col_offset': 17, 'message': 'unindent does not match any outer indentation level'}]}",,,"for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False","for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
<<<< [ERROR START] (ast: IndentationError)
    return False
[ERROR END] (ast: IndentationError) >>>>",ast,IndentationError,5-5,"    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False
"
humaneval,HumanEval/1,hallucinated,"{'ast_parsed': False, 'ast_errors': [{'type': 'IndentationError', 'start_line': 2, 'end_line': 2, 'col_offset': 4, 'message': 'unexpected indent'}]}",,,"result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result","result = []
<<<< [ERROR START] (ast: IndentationError)
    current_string = []
[ERROR END] (ast: IndentationError) >>>>
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result",ast,IndentationError,2-2,"    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
"
humaneval,HumanEval/2,hallucinated,"{'ast_parsed': True, 'ast_errors': [{'type': 'return_outside_function', 'start_line': 1, 'end_line': 1, 'col_offset': 0, 'message': 'return_outside_function detected'}]}",,,return number - int(number),"<<<< [ERROR START] (ast: return_outside_function)
return number - int(number)
[ERROR END] (ast: return_outside_function) >>>>",ast,return_outside_function,1-1,"    return number % 1.0
"
humaneval,HumanEval/3,hallucinated,"{'ast_parsed': False, 'ast_errors': [{'type': 'IndentationError', 'start_line': 3, 'end_line': 3, 'col_offset': 4, 'message': 'unexpected indent'}]}",,,"balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False","balance = 0

<<<< [ERROR START] (ast: IndentationError)
    for op in operations:
[ERROR END] (ast: IndentationError) >>>>
        balance += op
        if balance < 0:
            return True

    return False",ast,IndentationError,3-3,"    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
"
humaneval,HumanEval/4,hallucinated,"{'ast_parsed': False, 'ast_errors': [{'type': 'IndentationError', 'start_line': 2, 'end_line': 2, 'col_offset': 4, 'message': 'unexpected indent'}]}",,,"mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)","mean = sum(numbers) / len(numbers)
<<<< [ERROR START] (ast: IndentationError)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
[ERROR END] (ast: IndentationError) >>>>",ast,IndentationError,2-2,"    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
"
humaneval,HumanEval/5,hallucinated,"{'ast_parsed': False, 'ast_errors': [{'type': 'IndentationError', 'start_line': 4, 'end_line': 4, 'col_offset': 26, 'message': 'unindent does not match any outer indentation level'}]}",,,"if not numbers:
        return []

    result = [numbers[0]]
    for n in numbers[1:]:
        result += [delimeter, n]

    return result","if not numbers:
        return []

<<<< [ERROR START] (ast: IndentationError)
    result = [numbers[0]]
[ERROR END] (ast: IndentationError) >>>>
    for n in numbers[1:]:
        result += [delimeter, n]

    return result",ast,IndentationError,4-4,"    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
"
humaneval,HumanEval/6,hallucinated,"{'ast_parsed': True, 'ast_errors': [{'type': 'return_outside_function', 'start_line': 1, 'end_line': 1, 'col_offset': 0, 'message': 'return_outside_function detected'}]}",,,return [max(len(list(g)) for g in s.split(')') if g) + 1 for s in paren_string.split(' ') if s],"<<<< [ERROR START] (ast: return_outside_function)
return [max(len(list(g)) for g in s.split(')') if g) + 1 for s in paren_string.split(' ') if s]
[ERROR END] (ast: return_outside_function) >>>>",ast,return_outside_function,1-1,"    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
"
humaneval,HumanEval/7,hallucinated,"{'ast_parsed': True, 'ast_errors': [{'type': 'return_outside_function', 'start_line': 1, 'end_line': 1, 'col_offset': 0, 'message': 'return_outside_function detected'}]}",,,return [s for s in strings if substring in s],"<<<< [ERROR START] (ast: return_outside_function)
return [s for s in strings if substring in s]
[ERROR END] (ast: return_outside_function) >>>>",ast,return_outside_function,1-1,"    return [x for x in strings if substring in x]
"
humaneval,HumanEval/8,hallucinated,"{'ast_parsed': True, 'ast_errors': [{'type': 'return_outside_function', 'start_line': 1, 'end_line': 1, 'col_offset': 0, 'message': 'return_outside_function detected'}]}",,,"return (sum(numbers), 1 if not numbers else prod(numbers))","<<<< [ERROR START] (ast: return_outside_function)
return (sum(numbers), 1 if not numbers else prod(numbers))
[ERROR END] (ast: return_outside_function) >>>>",ast,return_outside_function,1-1,"    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
"
humaneval,HumanEval/9,hallucinated,"{'ast_parsed': False, 'ast_errors': [{'type': 'IndentationError', 'start_line': 4, 'end_line': 4, 'col_offset': 28, 'message': 'unindent does not match any outer indentation level'}]}",,,"if not numbers:
        return []

    max_so_far = numbers[0]
    result = []
    for n in numbers:
        max_so_far = max(max_so_far, n)
        result.append(max_so_far)

    return result","if not numbers:
        return []

<<<< [ERROR START] (ast: IndentationError)
    max_so_far = numbers[0]
[ERROR END] (ast: IndentationError) >>>>
    result = []
    for n in numbers:
        max_so_far = max(max_so_far, n)
        result.append(max_so_far)

    return result",ast,IndentationError,4-4,"    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
"
