dataset,task_id,status,ast_info,dynamic_info,lib_info,generated_code,patched_code,error_sources,error_types,error_lines,canonical_solution
ds1000,DS0000,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'def g(df, List):\n    return df.iloc[List]\n\nresult = g(df.copy(),List)'}",,"def g(df, List):
    return df.iloc[List]

result = g(df.copy(),List)","def g(df, List):
    return df.iloc[List]

result = g(df.copy(),List)",,,,"def g(df, List):
    return df.iloc[List]

result = g(df.copy(), List)
"
ds1000,DS0001,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'def g(df, List):\n    df2 = df.iloc[List].reindex().reset_index(drop=True)\n    return (df2.Type != df.Type).sum()\n\nresult = g(df.copy(),List)'}",,"def g(df, List):
    df2 = df.iloc[List].reindex().reset_index(drop=True)
    return (df2.Type != df.Type).sum()

result = g(df.copy(),List)","def g(df, List):
    df2 = df.iloc[List].reindex().reset_index(drop=True)
    return (df2.Type != df.Type).sum()

result = g(df.copy(),List)",,,,"def g(df, List):
    df2 = df.iloc[List].reindex().reset_index(drop=True)
    return (df2.Type != df.Type).sum()

result = g(df.copy(), List)
"
ds1000,DS0002,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'def g(df):\n    return df.where(df.apply(lambda x: x.map(x.value_counts())) >= 2, ""other"")\n\nresult = g(df.copy())'}",,"def g(df):
    return df.where(df.apply(lambda x: x.map(x.value_counts())) >= 2, ""other"")

result = g(df.copy())","def g(df):
    return df.where(df.apply(lambda x: x.map(x.value_counts())) >= 2, ""other"")

result = g(df.copy())",,,,"def g(df):
    return df.where(df.apply(lambda x: x.map(x.value_counts())) >= 2, ""other"")

result = g(df.copy())
"
ds1000,DS0003,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'def g(df):\n    return df.where(df.apply(lambda x: x.map(x.value_counts())) >= 3, ""other"")\n\nresult = g(df.copy())'}",,"def g(df):
    return df.where(df.apply(lambda x: x.map(x.value_counts())) >= 3, ""other"")

result = g(df.copy())","def g(df):
    return df.where(df.apply(lambda x: x.map(x.value_counts())) >= 3, ""other"")

result = g(df.copy())",,,,"def g(df):
    return df.where(df.apply(lambda x: x.map(x.value_counts())) >= 3, ""other"")

result = g(df.copy())
"
ds1000,DS0004,hallucinated,"{'ast_parsed': False, 'ast_errors': [{'type': 'IndentationError', 'start_line': 3, 'end_line': 3, 'col_offset': 4, 'message': 'unexpected indent'}]}",,,"result = df.where(df.apply(lambda x: x.map(x.value_counts())) >= 2, ""other"")

    return result","result = df.where(df.apply(lambda x: x.map(x.value_counts())) >= 2, ""other"")

<<<< [ERROR START] (ast: IndentationError)
    return result
[ERROR END] (ast: IndentationError) >>>>",ast,IndentationError,3-3,"    result = df.where(df.apply(lambda x: x.map(x.value_counts())) >= 2, ""other"")

    return result
"
ds1000,DS0005,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': ""def g(df):\n    for col in df.columns:\n        vc = df[col].value_counts()\n        if col == 'Qu1':\n            df[col] = df[col].apply(lambda x: x if vc[x] >= 3 else 'other')\n        else:\n            df[col] = df[col].apply(lambda x: x if vc[x] >= 2 else 'other')\n    return df\n\nresult = g(df.copy())""}",,"def g(df):
    for col in df.columns:
        vc = df[col].value_counts()
        if col == 'Qu1':
            df[col] = df[col].apply(lambda x: x if vc[x] >= 3 else 'other')
        else:
            df[col] = df[col].apply(lambda x: x if vc[x] >= 2 else 'other')
    return df

result = g(df.copy())","def g(df):
    for col in df.columns:
        vc = df[col].value_counts()
        if col == 'Qu1':
            df[col] = df[col].apply(lambda x: x if vc[x] >= 3 else 'other')
        else:
            df[col] = df[col].apply(lambda x: x if vc[x] >= 2 else 'other')
    return df

result = g(df.copy())",,,,"def g(df):
    for col in df.columns:
        vc = df[col].value_counts()
        if col == 'Qu1':
            df[col] = df[col].apply(lambda x: x if vc[x] >= 3 else 'other')
        else:
            df[col] = df[col].apply(lambda x: x if vc[x] >= 2 else 'other')
    return df

result = g(df.copy())
"
ds1000,DS0006,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': ""def g(df):\n    for col in df.columns:\n        vc = df[col].value_counts()\n        if col == 'Qu1':\n            df[col] = df[col].apply(lambda x: x if vc[x] >= 3 or x=='apple' else 'other')\n        else:\n            df[col] = df[col].apply(lambda x: x if vc[x] >= 2 or x=='apple' else 'other')\n    return df\n\nresult = g(df.copy())""}",,"def g(df):
    for col in df.columns:
        vc = df[col].value_counts()
        if col == 'Qu1':
            df[col] = df[col].apply(lambda x: x if vc[x] >= 3 or x=='apple' else 'other')
        else:
            df[col] = df[col].apply(lambda x: x if vc[x] >= 2 or x=='apple' else 'other')
    return df

result = g(df.copy())","def g(df):
    for col in df.columns:
        vc = df[col].value_counts()
        if col == 'Qu1':
            df[col] = df[col].apply(lambda x: x if vc[x] >= 3 or x=='apple' else 'other')
        else:
            df[col] = df[col].apply(lambda x: x if vc[x] >= 2 or x=='apple' else 'other')
    return df

result = g(df.copy())",,,,"def g(df):
    for col in df.columns:
        vc = df[col].value_counts()
        if col == 'Qu1':
            df[col] = df[col].apply(lambda x: x if vc[x] >= 3 or x == 'apple' else 'other')
        else:
            df[col] = df[col].apply(lambda x: x if vc[x] >= 2 or x == 'apple' else 'other')
    return df

result = g(df.copy())
"
ds1000,DS0007,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': ""def g(df):\n    return df.loc[(df['keep_if_dup'] =='Yes') | ~df['url'].duplicated()]\n\nresult = g(df.copy())""}",,"def g(df):
    return df.loc[(df['keep_if_dup'] =='Yes') | ~df['url'].duplicated()]

result = g(df.copy())","def g(df):
    return df.loc[(df['keep_if_dup'] =='Yes') | ~df['url'].duplicated()]

result = g(df.copy())",,,,"def g(df):
    return df.loc[(df['keep_if_dup'] =='Yes') | ~df['url'].duplicated()]

result = g(df.copy())
"
ds1000,DS0008,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': ""def g(df):\n    return df.loc[(df['drop_if_dup'] =='No') | ~df['url'].duplicated()]\n\nresult = g(df.copy())""}",,"def g(df):
    return df.loc[(df['drop_if_dup'] =='No') | ~df['url'].duplicated()]

result = g(df.copy())","def g(df):
    return df.loc[(df['drop_if_dup'] =='No') | ~df['url'].duplicated()]

result = g(df.copy())",,,,"def g(df):
    return df.loc[(df['drop_if_dup'] =='No') | ~df['url'].duplicated()]

result = g(df.copy())
"
ds1000,DS0009,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': ""def g(df):\n    return df.loc[(df['keep_if_dup'] =='Yes') | ~df['url'].duplicated(keep='last')]\n\nresult = g(df.copy())""}",,"def g(df):
    return df.loc[(df['keep_if_dup'] =='Yes') | ~df['url'].duplicated(keep='last')]

result = g(df.copy())","def g(df):
    return df.loc[(df['keep_if_dup'] =='Yes') | ~df['url'].duplicated(keep='last')]

result = g(df.copy())",,,,"def g(df):
    return df.loc[(df['keep_if_dup'] =='Yes') | ~df['url'].duplicated(keep='last')]

result = g(df.copy())
"
