dataset,task_id,status,codebleu_1st_pass
mbpp,11,hallucinated,0.18745820549380862
mbpp,12,passed,0.27535576782503723
mbpp,14,passed,0.3282997914022997
mbpp,16,hallucinated,0.2877402637425316
mbpp,17,passed,0.22064308587934778
mbpp,18,hallucinated,0.050556226173149844
mbpp,19,passed,0.246452251019106
mbpp,20,hallucinated,0.15903377750813863
mbpp,56,hallucinated,0.06497207175687006
mbpp,57,passed,0.13958597005950268
mbpp,58,passed,0.32407968107224233
mbpp,59,hallucinated,0.3560830314067225
mbpp,61,hallucinated,0.18852662348039417
mbpp,62,passed,0.4615277649438462
mbpp,63,hallucinated,0.2124976628747771
mbpp,64,passed,0.3088263003853318
mbpp,65,passed,0.3227243669386979
mbpp,66,passed,0.1007617182728557
mbpp,67,hallucinated,0.43879778372042055
mbpp,68,passed,0.2372145750695745
mbpp,69,passed,0.12417781680830427
mbpp,70,hallucinated,0.18307101041558949
mbpp,71,passed,0.30355945887824687
mbpp,72,hallucinated,0.46574548657307624
mbpp,74,hallucinated,0.17968364953013286
mbpp,75,passed,0.34172439427716805
mbpp,77,passed,0.36236064818028535
mbpp,79,passed,0.12479732438295274
mbpp,80,passed,0.6601307176990713
mbpp,82,passed,0.3847003402298792
mbpp,83,hallucinated,0.15746397246289418
mbpp,84,passed,0.5887793147772943
mbpp,85,passed,0.3782830644902565
mbpp,86,passed,1.0
mbpp,87,hallucinated,0.25610028560157294
mbpp,88,passed,0.2581054930589429
mbpp,89,passed,0.35852864990043
mbpp,90,passed,0.3432486646963515
mbpp,91,hallucinated,0.24172509829110933
mbpp,92,hallucinated,0.32467820947877113
mbpp,93,passed,0.1140518170308269
mbpp,94,passed,0.22608768296188453
mbpp,95,passed,0.28779812988391185
mbpp,96,passed,0.1916323360551196
mbpp,97,passed,0.17367246624855115
mbpp,98,passed,0.4936314631820088
mbpp,99,passed,0.4058307895643697
mbpp,100,passed,0.2779814196899785
mbpp,101,passed,0.12064322330102034
mbpp,102,hallucinated,0.3541459208050668
mbpp,227,passed,0.09563130334290415
mbpp,228,hallucinated,0.1945499629634551
mbpp,229,hallucinated,0.2164103637880498
mbpp,230,passed,0.2693225695339719
mbpp,232,passed,0.14641249515320634
mbpp,233,passed,0.26409196388822215
mbpp,234,passed,0.1358715307537265
mbpp,235,hallucinated,0.20572675835247584
mbpp,237,hallucinated,0.22059908348168622
mbpp,238,passed,0.2949045341366584
mbpp,239,hallucinated,0.1345330363652123
mbpp,240,passed,0.33785372055128843
mbpp,242,passed,0.08710377834944641
mbpp,244,passed,0.14431024101808396
mbpp,245,passed,0.2580650089562327
mbpp,246,passed,0.25701225529788757
mbpp,247,passed,0.4016382988847928
mbpp,248,passed,0.5969963538271912
mbpp,249,hallucinated,0.20100158276756014
mbpp,250,passed,0.1153919703132713
mbpp,251,passed,0.22802420024798367
mbpp,252,hallucinated,0.4188544941503734
mbpp,253,passed,0.10341955534787672
mbpp,255,hallucinated,0.5408574715140093
mbpp,256,passed,0.22879225239780984
mbpp,257,passed,0.17240650541207175
mbpp,259,hallucinated,0.40919919931725707
mbpp,260,hallucinated,0.20619897479643462
mbpp,261,passed,0.37943353278919173
mbpp,262,passed,0.6373037543021386
mbpp,264,passed,0.4012581581899578
mbpp,265,passed,1.0
mbpp,266,passed,0.13993228251501633
