dataset,task_id,status,ast_info,dynamic_info,lib_info,generated_code,patched_code,error_sources,error_types,error_lines,canonical_solution
mbpp,11,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'def remove_Occ(s,ch):\n    if ch not in s:\n        return s\n    else:\n        first = s.index(ch)\n        last = s.rindex(ch)\n        return s[:first] + s[first+1:last] + s[last+1:]'}",,"def remove_Occ(s,ch):
    if ch not in s:
        return s
    else:
        first = s.index(ch)
        last = s.rindex(ch)
        return s[:first] + s[first+1:last] + s[last+1:]","def remove_Occ(s,ch):
    if ch not in s:
        return s
    else:
        first = s.index(ch)
        last = s.rindex(ch)
        return s[:first] + s[first+1:last] + s[last+1:]",,,,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s "
mbpp,12,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'def sort_matrix(M):\n    return sorted(M, key=sum)'}",,"def sort_matrix(M):
    return sorted(M, key=sum)","def sort_matrix(M):
    return sorted(M, key=sum)",,,,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result"
mbpp,14,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'def find_Volume(l,b,h) :\n    return (l*b*h)/2'}",,"def find_Volume(l,b,h) :
    return (l*b*h)/2","def find_Volume(l,b,h) :
    return (l*b*h)/2",,,,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) "
mbpp,16,hallucinated,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'failed', 'error_type': 'AssertionError', 'error_message': '', 'line_number': '', 'test_case': '[[""aab_cbbbc"", ""True"", ""True""], [""aab_Abbbc"", ""False"", ""False""], [""Aaab_abbbc"", ""False"", ""True""]]', 'testcase_output': 'Traceback (most recent call last):\n  File ""/tmp/ipykernel_535/3414935336.py"", line 103, in execute_mbpp_test_inner\n    exec(str(test_assertion).strip(), test_env)\n  File ""<string>"", line 1, in <module>\nAssertionError\n', 'generated_code': ""import re\n\ndef text_lowercase_underscore(text):\n    return bool(re.search(r'[a-z]+_[a-z]+', text))""}","{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","import re

def text_lowercase_underscore(text):
    return bool(re.search(r'[a-z]+_[a-z]+', text))","import re

def text_lowercase_underscore(text):
    return bool(re.search(r'[a-z]+_[a-z]+', text))",,,,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return True
        else:
                return False"
mbpp,17,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'def square_perimeter(a):\n    return 4*a'}",,"def square_perimeter(a):
    return 4*a","def square_perimeter(a):
    return 4*a",,,,"def square_perimeter(a):
  perimeter=4*a
  return perimeter"
mbpp,18,hallucinated,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'failed', 'error_type': 'NameError', 'error_message': ""name 'remove_dirty_chars' is not defined"", 'line_number': '', 'test_case': '[[""(\'probasscurve\', \'pros\')"", ""bacuve"", ""<unknown>""], [""(\'digitalindia\', \'talent\')"", ""digiidi"", ""<unknown>""], [""(\'exoticmiles\', \'toxic\')"", ""emles"", ""<unknown>""]]', 'testcase_output': 'Traceback (most recent call last):\n  File ""/tmp/ipykernel_535/3414935336.py"", line 103, in execute_mbpp_test_inner\n    exec(str(test_assertion).strip(), test_env)\n  File ""<string>"", line 1, in <module>\nNameError: name \'remove_dirty_chars\' is not defined\n', 'generated_code': 'def str_to_list(string):\n    return list(string)'}","{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def str_to_list(string):
    return list(string)","def str_to_list(string):
    return list(string)",,,,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) "
mbpp,19,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'def test_duplicate(arraynums):\n    return len(arraynums) != len(set(arraynums))'}",,"def test_duplicate(arraynums):
    return len(arraynums) != len(set(arraynums))","def test_duplicate(arraynums):
    return len(arraynums) != len(set(arraynums))",,,,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     "
mbpp,20,hallucinated,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'failed', 'error_type': 'AssertionError', 'error_message': '', 'line_number': '', 'test_case': '[[""383"", ""True"", ""False""], [""254"", ""False"", ""False""], [""200"", ""False"", ""False""]]', 'testcase_output': 'Traceback (most recent call last):\n  File ""/tmp/ipykernel_535/3414935336.py"", line 103, in execute_mbpp_test_inner\n    exec(str(test_assertion).strip(), test_env)\n  File ""<string>"", line 1, in <module>\nAssertionError\n', 'generated_code': 'def is_woodall(x):\n    if x < 2:\n        return False\n    n = 1\n    while True:\n        if (n * (3 * n - 1)) == x:\n            return True\n        elif (n * (3 * n - 1)) > x:\n            return False\n        n += 1'}","{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def is_woodall(x):
    if x < 2:
        return False
    n = 1
    while True:
        if (n * (3 * n - 1)) == x:
            return True
        elif (n * (3 * n - 1)) > x:
            return False
        n += 1","def is_woodall(x):
    if x < 2:
        return False
    n = 1
    while True:
        if (n * (3 * n - 1)) == x:
            return True
        elif (n * (3 * n - 1)) > x:
            return False
        n += 1",,,,"def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False"
mbpp,56,hallucinated,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'failed', 'error_type': 'NameError', 'error_message': ""name 'check' is not defined"", 'line_number': '', 'test_case': '[[""70"", ""False"", ""<unknown>""], [""23"", ""False"", ""<unknown>""], [""73"", ""True"", ""<unknown>""]]', 'testcase_output': 'Traceback (most recent call last):\n  File ""/tmp/ipykernel_535/3414935336.py"", line 103, in execute_mbpp_test_inner\n    exec(str(test_assertion).strip(), test_env)\n  File ""<string>"", line 1, in <module>\nNameError: name \'check\' is not defined\n', 'generated_code': 'def rev(num):\n    return int(str(num)[::-1])'}","{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def rev(num):
    return int(str(num)[::-1])","def rev(num):
    return int(str(num)[::-1])",,,,"def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)  "
mbpp,57,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'def find_Max_Num(arr) :\n    arr.sort(reverse = True)\n    res = """"\n    for i in range(len(arr)):\n        res += str(arr[i])\n    return int(res)'}",,"def find_Max_Num(arr) :
    arr.sort(reverse = True)
    res = """"
    for i in range(len(arr)):
        res += str(arr[i])
    return int(res)","def find_Max_Num(arr) :
    arr.sort(reverse = True)
    res = """"
    for i in range(len(arr)):
        res += str(arr[i])
    return int(res)",,,,"def find_Max_Num(arr) : 
    n = len(arr)
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num "
